"","zcta","zipp","City","County","Operational.Costs","Admin.Costs","Food.Costs","SFSP.Kitchens","Meals.Served","Media","Activity","Site.Density","Benefits","Poverty","Grocery","Convenience.Store","Public.Transport","Total.Meals","Total.ADP","Findings","Year.Round"
"93",75115,75115,"Desoto","Dallas","High","High","Med","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No",NA,26.9929163429163,25,5
"95",75116,75116,"Duncanville","Dallas","High","High","Med","Yes","Lunch Plus","Low","High","High","No","Med","Yes","High","No",NA,46.2287630402384,1,4
"96",75117,75117,"Edgewood","Van Zandt","Low",NA,NA,"No","Lunch","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"98",75119,75119,"Ennis","Ellis","Med","Med","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High",NA,"Low",0,NA,6
"99",75124,75124,"Eustace","Henderson","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"100",75125,75125,"Ferris","Ellis","Med","Med","Med","No","Lunch Plus","High","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"102",75127,75127,"Fruitvale","Van Zandt","Low",NA,NA,"No","No Meals","Low","None","None","No","Low","No","Low",NA,NA,0,NA,NA
"104",75134,75134,"Lancaster","Dallas","High","High","Med","Yes","Lunch Plus","High","High","High","No","Med","No","High","No","Low",0,NA,6
"106",75137,75137,"Duncanville","Dallas","High","High","Med","Yes","Lunch Plus","High","High","Low","No","Med","Yes","High","No",NA,50.9180327868852,8,1
"108",75140,75140,"Grand Saline","Van Zandt","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,0,NA,NA
"110",75142,75142,"Kaufman","Kaufman","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Low",0,NA,NA
"111",75143,75143,"Kemp","Kaufman","Med","Med","Med","Yes","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,NA
"112",75144,75144,"Kerens","Navarro","Med","Med","Med","No","Lunch Plus","High","None","Low","No","Med","No","Low",NA,"Low",0,NA,1
"113",75146,75146,"Lancaster","Dallas","High","High","Med","Yes","Lunch Plus","High","High","High","No","Med","No","High","No",NA,13.5858764186633,7,1
"114",75147,75147,"Mabank","Kaufman","Med","Med","Med","No","No Meals","Low","None","None","No","Med","No","High","No","Low",0,NA,NA
"115",75148,75148,"Malakoff","Henderson","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Low",0,NA,1
"118",75149,75149,"Mesquite","Dallas","Med","Med","Low","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,2
"119",75150,75150,"Mesquite","Dallas","High","High","Med","No","Lunch Plus","Low","Low","High","No","Med","Yes","High","No","Low",0,4,4
"120",75152,75152,"Palmer","Ellis","Med","Med","Med","No","Lunch","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"122",75154,75154,"Red Oak","Ellis","Med","Med","Med","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No",NA,18.8888888888889,2,NA
"123",75155,75155,"Rice","Navarro","Med","Med","Med","No","No Meals","High","None","None","Yes","Med","No","Low",NA,"Low",0,NA,NA
"124",75156,75156,"Mabank","Henderson","High","High","Med","No","No Meals","Low","None","None","No","Med","Yes","High","No","Low",0,NA,3
"127",75159,75159,"Seagoville","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,2
"128",75160,75160,"Terrell","Kaufman","Med","Med","Med","Yes","Lunch Plus","High","None","High","No","Med","Yes","High","No",NA,0,2,NA
"131",75163,75163,"Trinidad","Henderson","High","High","Med","No","No Meals","Low","None","None","No","High","No","Low",NA,"Low",0,NA,1
"134",75165,75165,"Waxahachie","Ellis","Low","Med","Med","No","Lunch Plus","High","None","High","No","Med","Yes","High","No","High",0,1,2
"135",75166,75166,"Lavon","Collin","Med","Med","Med","No","No Meals","Low","None","None","No","Low","No","Low",NA,"Low",0,NA,NA
"137",75169,75169,"Wills Point","Van Zandt","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,NA,35.5555555555556,NA,2
"141",75180,75180,"Mesquite","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Low","No","High","No","Low",0,NA,6
"142",75181,75181,"Mesquite","Dallas","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"147",75201,75201,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","High","High","No","High","No","High","No","Low",49.655737704918,55,1
"149",75202,75202,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","Low",NA,NA,"No","Low","No","Low",0,NA,1
"151",75203,75203,"Dallas","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","High","Yes","Med","No","High","Yes","Low",0,NA,15
"152",75204,75204,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","High","Yes","High","No","Low",40,NA,12
"153",75205,75205,"Dallas","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","Low","No","Low","No","Low","No","Low",0,NA,NA
"156",75206,75206,"Dallas","Dallas","Med","Med","High","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,11
"174",75208,75208,"Dallas","Dallas",NA,"Med","Low","No","Lunch Plus","Low","High","High","No","Low","No","High","No","High",30.1477777777778,41,12
"178",75209,75209,"Dallas","Dallas","High","High","Low","No","Lunch Plus","Low","None","Low","No","High","Yes","High","No",NA,0,NA,2
"179",75210,75210,"Dallas","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","High","Yes","Med","No","High","Yes",NA,38.1818181818182,NA,10
"180",75211,75211,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,25
"183",75212,75212,"Dallas","Dallas","Med","High","Low","Yes","Lunch Plus","Low","None","High","No","Low","No","High","No",NA,52.4888888888889,1,17
"185",75214,75214,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,5
"186",75215,75215,"Dallas","Dallas","High","High","Med","Yes","Lunch Plus","Low","High","High","Yes","High","No","High","Yes",NA,54.9016393442623,16,15
"190",75216,75216,"Dallas","Dallas","High","High","Med","Yes","Lunch Plus","Low","High","High","Yes","Med","Yes","High","Yes",NA,28.8114754098361,19,30
"191",75217,75217,"Dallas","Dallas","Med","Med","Med","No","Lunch Plus","Low","None","High","Yes","Med","Yes","High","No",NA,25.6177273364159,14,33
"193",75218,75218,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,2
"196",75219,75219,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","High","No","High","No","Low",0,NA,3
"198",75220,75220,"Dallas","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,17
"199",75223,75223,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,2
"200",75224,75224,"Dallas","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","High","Yes","Med","Yes","High","No","Low",0,NA,17
"204",75227,75227,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,22
"205",75228,75228,"Dallas","Dallas","High","High","Med","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No","Low",0,NA,25
"207",75229,75229,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,14
"209",75230,75230,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,5
"211",75231,75231,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","Yes","Low",0,NA,11
"213",75232,75232,"Dallas","Dallas","High","High","Med","Yes","Lunch Plus","High","High","High","Yes","Med","Yes","High","No","Low",535.976923076923,NA,16
"214",75233,75233,"Dallas","Dallas","Med","Med","Med","Yes","Lunch Plus","Low","None","High","No","Low","Yes","High","No","High",0,NA,9
"215",75234,75234,"Dallas","Dallas","Med","High","Med","Yes","Lunch Plus","High","Low","High","No","Med","Yes","High","No",NA,47.68,NA,5
"218",75235,75235,"Dallas","Dallas","High","High","Med","No","Lunch Plus","High","None","High","Yes","High","Yes","High","Yes","Low",0,NA,11
"219",75236,75236,"Dallas","Dallas","Med","High","Low","Yes","Lunch Plus","Low","High","High","No","Med","No","High","No",NA,0,3,9
"220",75237,75237,"Dallas","Dallas","High","High","Low","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No",NA,59.6153846153846,15,8
"223",75238,75238,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,6
"225",75240,75240,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,6
"226",75241,75241,"Dallas","Dallas","Med","Med","Med","Yes","Lunch Plus","High","High","High","Yes","Med","No","High","No","High",22.9,3,16
"229",75243,75243,"Dallas","Dallas","Med","Med","High","Yes","Lunch Plus","Low","High","High","No","Med","Yes","High","No",NA,0,15,12
"231",75244,75244,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Low","No","Low","No","Low",0,NA,3
"232",75246,75246,"Dallas","Dallas","High","High","Low","No","Lunch Plus","Low","None","High","Yes","Med","Yes","Low","Yes",NA,0,NA,3
"237",75249,75249,"Dallas","Dallas","High","High","Low","No","Lunch Plus","Low","High","Low","No","Med","No","Low","No",NA,0,9,2
"240",75253,75253,"Dallas","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",0,NA,5
"246",75287,75287,"Dallas","Collin","Med","Med","Med","Yes","Lunch Plus","Low","None","High","No","High","Yes","High","No","Low",0,NA,2
"248",75401,75401,"Greenville","Hunt","Low","Med","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High",NA,"High",0,NA,1
"251",75402,75402,"Greenville","Hunt","Low","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High",NA,"Low",0,NA,1
"252",75407,75407,"Princeton","Collin","Low","Med","Med","No","Lunch Plus","Low","None","Low","Yes","Med","No","High","No","High",0,NA,NA
"255",75410,75410,"Alba","Wood","Low",NA,NA,"No","Lunch","Low","None","Low","Yes","High","No","Low","No",NA,0,NA,NA
"262",75416,75416,"Blossom","Lamar","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"263",75417,75417,"Bogata","Red River","Low","Low","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"264",75418,75418,"Bonham","Fannin","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Low","Yes","High","No","Low",0,NA,NA
"267",75422,75422,"Campbell","Hunt","Low","Low","High","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Med",0,NA,NA
"268",75423,75423,"Celeste","Hunt","Low","Med","Med","No","Lunch Plus","Low","None","Low","Yes","High","No","Low",NA,"Low",0,NA,NA
"269",75424,75424,"Blue Ridge","Collin","Med","Med","Med","No","Lunch Plus","Low","None","Low","Yes","Low","No","Low",NA,"Low",0,NA,NA
"270",75426,75426,"Clarksville","Red River","Low","Low","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Med",0,1,NA
"271",75428,75428,"Commerce","Hunt","Low","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,1
"273",75431,75431,"Como","Hopkins","Low","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low","No","Low",0,NA,NA
"274",75432,75432,"Cooper","Delta","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Low","No","Low",NA,NA,0,NA,NA
"275",75433,75433,"Cumby","Hopkins","Low","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"277",75435,75435,"Deport","Lamar","Low",NA,NA,"No","Lunch","Low","None","Low","Yes","Med","No","Low",NA,NA,0,NA,NA
"278",75436,75436,"Detroit","Red River","Low","Low","Med","No","Lunch","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"281",75439,75439,"Ector","Fannin","Med","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"282",75440,75440,"Emory","Rains","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"284",75442,75442,"Farmersville","Collin","Low","Med","Med","No","Lunch","Low","None","Low","No","Med","Yes","Low",NA,"High",0,NA,NA
"286",75446,75446,"Honey Grove","Fannin","Med","Med","Med","No","Lunch","High","None","Low","No","Med","No","Low",NA,"High",0,NA,NA
"289",75449,75449,"Ladonia","Fannin","Med","Med","Med","No","Lunch","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"292",75452,75452,"Leonard","Fannin","Med","Low","Med","Yes","Lunch","Low","None","Low","No","Low","No","Low",NA,"High",0,NA,NA
"295",75455,75455,"Mount Pleasant","Titus","Med","Med","Med","No","Lunch Plus","High","None","High","No","Med","Yes","High","No","High",0,NA,2
"297",75457,75457,"Mount Vernon","Franklin","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"299",75460,75460,"Paris","Lamar","Low",NA,NA,"No","Lunch Plus","Low","None","High","No","Med","Yes","High",NA,NA,0,NA,NA
"302",75468,75468,"Pattonville","Lamar","Low",NA,NA,"No","No Meals","Low","None","None","Yes","High","No","Low",NA,NA,0,NA,NA
"303",75469,75469,"Pecan Gap","Delta","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","None",NA,NA,0,NA,NA
"307",75473,75473,"Powderly","Lamar","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"308",75474,75474,"Quinlan","Hunt","Low","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,1
"311",75477,75477,"Roxton","Lamar","Low",NA,NA,"No","No Meals","Low","None","None","No","High","No","Low","No",NA,0,NA,NA
"312",75478,75478,"Saltillo","Hopkins","Low","Med","Med","No","No Meals","Low","None","None","No","Med","No","None",NA,"Low",0,NA,NA
"313",75479,75479,"Savoy","Fannin","Med","Med","Med","No","No Meals","Low","None","None","No","Low","No","Low",NA,"Low",0,NA,NA
"317",75482,75482,"Sulphur Springs","Hopkins","Low","Med","Med","No","Lunch Plus","High","None","Low","No","Med","Yes","High","No","High",0,NA,NA
"323",75491,75491,"Whitewright","Grayson","High","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"325",75493,75493,"Winfield","Titus","Med","Med","Med","No","Lunch Plus","Low","None","Low","Yes","Low","No","None","No","Low",0,NA,NA
"326",75494,75494,"Winnsboro","Wood","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","High","No",NA,0,NA,NA
"329",75496,75496,"Wolfe City","Hunt","Low","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"330",75497,75497,"Yantis","Wood","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"332",75501,75501,"Texarkana","Bowie","Low",NA,NA,"Yes","Lunch Plus","Low","None","High","No","Med","No","High","No",NA,0,NA,NA
"336",75503,75503,"Texarkana","Bowie","Low",NA,NA,"No","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,NA
"338",75551,75551,"Atlanta","Cass","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Low","No","Low","No",NA,0,NA,3
"339",75554,75554,"Avery","Red River","Low","Low","Med","No","No Meals","Low","None","None","No","Med","No","Low","No","Low",0,NA,NA
"341",75556,75556,"Bloomburg","Cass","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"343",75559,75559,"De Kalb","Bowie","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low","No",NA,0,NA,NA
"345",75561,75561,"Hooks","Bowie","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Low","No","Low","No",NA,0,NA,NA
"347",75563,75563,"Linden","Cass","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low","No",NA,0,NA,NA
"350",75567,75567,"Maud","Bowie","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"352",75569,75569,"Nash","Bowie","Low",NA,NA,"No","Lunch Plus","Low","None","Low","Yes","Med","No","Low",NA,NA,0,NA,NA
"353",75570,75570,"New Boston","Bowie","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"354",75571,75571,"Omaha","Morris","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"355",75572,75572,"Queen City","Cass","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low","No",NA,0,NA,1
"357",75574,75574,"Simms","Bowie","Low",NA,NA,"No","No Meals","Low","None","None","No","High","No","Low",NA,NA,0,NA,NA
"358",75601,75601,"Longview","Gregg","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,3.09102564102564,NA,1
"361",75602,75602,"Longview","Gregg","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","High","No",NA,5.76477272727273,NA,NA
"363",75603,75603,"Longview","Gregg","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No",NA,0,NA,NA
"364",75604,75604,"Longview","Gregg","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","High","No",NA,0,NA,2
"368",75630,75630,"Avinger","Cass","Low",NA,NA,"No","No Meals","Low","None","None","No","High","No","Low",NA,NA,0,NA,NA
"370",75633,75633,"Carthage","Panola","Low",NA,NA,"No","Lunch Plus","Low","None","Low","Yes","Med","No","High",NA,NA,66.2361111111111,NA,2
"372",75638,75638,"Daingerfield","Morris","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"379",75643,75643,"Gary","Panola","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","None",NA,NA,0,NA,NA
"380",75644,75644,"Gilmer","Upshur","Med","Med","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No",NA,0,NA,NA
"382",75647,75647,"Gladewater","Gregg","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","High",NA,NA,0,NA,NA
"383",75650,75650,"Hallsville","Harrison","Low",NA,NA,"No","Lunch Plus","Low","None","Low","Yes","Med","Yes","Low",NA,NA,84.8363636363637,NA,2
"385",75652,75652,"Henderson","Rusk","Med","Med","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",26.6201761201761,NA,2
"389",75654,75654,"Henderson","Rusk","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,NA
"392",75656,75656,"Hughes Springs","Cass","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"394",75657,75657,"Jefferson","Marion","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,30.6054245154245,NA,1
"395",75661,75661,"Karnack","Harrison","Low",NA,NA,"No","Lunch Plus","Low","None","Low","Yes","Low","No","Low",NA,NA,0,NA,1
"396",75662,75662,"Kilgore","Gregg","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,NA,103.275,NA,NA
"399",75667,75667,"Laneville","Rusk","Med","Med","Med","No","No Meals","Low","None","None","No","High","No","None",NA,"Low",0,NA,NA
"402",75670,75670,"Marshall","Harrison","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,87.4900673400673,NA,2
"406",75672,75672,"Marshall","Harrison","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low","No",NA,0,NA,1
"407",75681,75681,"Mount Enterprise","Rusk","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"408",75682,75682,"New London","Rusk","Med","Med","Med","No","No Meals","Low","None","None","No",NA,"No","None",NA,"Low",0,NA,NA
"409",75683,75683,"Ore City","Upshur","Med","Med","Med","No","Lunch","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"410",75684,75684,"Overton","Rusk","Med","Med","Med","No","Lunch","Low","None","Low","Yes","Med","No","Low",NA,"Low",0,NA,NA
"411",75686,75686,"Pittsburg","Camp","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","High","No",NA,5.70757575757575,NA,NA
"412",75691,75691,"Tatum","Rusk","Med","Med","High","No","Lunch Plus","High","High","Low","No","Low","No","Low",NA,"High",0,NA,NA
"414",75692,75692,"Waskom","Harrison","Low",NA,NA,"No","Lunch Plus","Low","None","Low","Yes","Med","No","Low",NA,NA,77.7636363636364,NA,1
"417",75701,75701,"Tyler","Smith","Med","High","Low","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,18.36,NA,6
"421",75702,75712,"Tyler","Smith","Med","High","Low","No","No Meals","Low","None","None","Yes","Med","No","None","No","Low",0,NA,NA
"422",75702,75702,"Tyler","Smith","Med","High","Low","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",71.3188163688164,NA,16
"423",75702,75710,"Tyler","Smith","Med","High","Low","No","Lunch Plus","Low","None","Low","Yes","Med","No","None","No","Low",47.890909090909,NA,1
"424",75703,75703,"Tyler","Smith","Med","High","Low","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",22.8545454545455,NA,2
"425",75704,75704,"Tyler","Smith","Med","High","Low","No","No Meals","Low","None","None","Yes","Med","Yes","Low",NA,"Low",0,NA,NA
"426",75705,75705,"Tyler","Smith","Med","High","Low","No","No Meals","Low","None","None","No","High","No","Low",NA,"Low",0,NA,NA
"428",75707,75707,"Tyler","Smith","Med","High","Low","No","Lunch Plus","Low","None","Low","No","High","Yes","High","No","Low",0,NA,NA
"431",75750,75750,"Arp","Smith","Med","High","Low","No","No Meals","Low","None","None","Yes","Med","No","None",NA,"Low",0,NA,1
"432",75751,75751,"Athens","Henderson","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No",NA,0,NA,3
"435",75755,75755,"Big Sandy","Upshur","Med","Med","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"437",75756,75756,"Brownsboro","Henderson","High","High","Med","No","Lunch","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,1
"439",75758,75758,"Chandler","Henderson","High","High","Med","No","No Meals","Low","None","None","No","Med","Yes","Low",NA,"Low",0,NA,NA
"441",75760,75760,"Cushing","Nacogdoches","Low","Low","Med","Yes","Lunch Plus","Low","None","Low","No","Low","No","Low","No","High",0,1,NA
"443",75763,75763,"Frankston","Anderson","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,0,NA,1
"445",75765,75765,"Hawkins","Wood","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","High","No","Low",NA,NA,68.6181818181819,NA,1
"446",75766,75766,"Jacksonville","Cherokee","Low","Low","Med","No","Lunch Plus","Low","None","High","No","Med","No","High",NA,"Low",16.1323512906846,NA,9
"447",75770,75770,"Larue","Henderson","High","High","Med","No","Lunch Plus","Low","None","Low","No","High","No","None",NA,"Low",31.1891891891892,NA,NA
"450",75773,75773,"Mineola","Wood","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,NA,88.0433221099888,NA,3
"452",75778,75778,"Murchison","Henderson","High","High","Med","No","No Meals","Low","None","None","No","Low","No","Low",NA,"Low",0,NA,1
"454",75780,75780,"New Summerfield","Cherokee","Low","Low","Med","No","Lunch Plus","Low","None","Low","No","Low","No","Low",NA,"Low",0,NA,NA
